"","run_accession","library_name","Collection_Date","lib"
"4313","ERR12861334","SARS-CoV-2 ARTIC V4.1",2022-06-25,"-"
"4321","ERR12861341","SARS-CoV-2 ARTIC V4.1",2022-06-26,"-"
"4333","ERR12861971","SARS-CoV-2 ARTIC V4.1",2022-06-28,"-"
"4370","ERR12862317","SARS-CoV-2 ARTIC V4.1",2022-08-01,"-"
"4391","ERR12862793","SARS-CoV-2 ARTIC V4.1",2022-07-30,"-"
"4398","ERR12862866","SARS-CoV-2 ARTIC V4.1",2022-07-25,"-"
"4406","ERR12862885","SARS-CoV-2 ARTIC V4.1",2022-07-29,"-"
"4419","ERR12865413","SARS-CoV-2 ARTIC V4.1",2022-07-12,"-"
"4426","ERR12865449","SARS-CoV-2 ARTIC V4.1",2022-06-03,"-"
"4436","ERR12865584","SARS-CoV-2 ARTIC V4.1",2022-06-04,"-"
"4442","ERR12865596","SARS-CoV-2 ARTIC V4.1",2022-06-05,"-"
"4478","ERR12865683","SARS-CoV-2 ARTIC V4.1",2022-06-16,"-"
"4484","ERR12865734","SARS-CoV-2 ARTIC V4.1",2022-06-20,"-"
"4497","ERR12865766","SARS-CoV-2 ARTIC V4.1",2022-06-19,"-"
"4504","ERR12865780","SARS-CoV-2 ARTIC V4.1",2022-06-18,"-"
"4514","ERR12865799","SARS-CoV-2 ARTIC V4.1",2022-06-11,"-"
"4541","ERR12865870","SARS-CoV-2 ARTIC V4.1",2022-05-24,"-"
"4558","ERR12867557","SARS-CoV-2 ARTIC V4.1",2022-05-19,"-"
"4563","ERR12867606","SARS-CoV-2 ARTIC V4.1",2022-05-21,"-"
"4567","ERR12867727","SARS-CoV-2 ARTIC V4.1",2022-05-20,"-"
"4787","ERR13102143","SARS-CoV-2 ARTIC V4.1",2022-05-17,"-"
"4807","ERR13103897","SARS-CoV-2 ARTIC V4.1",2022-05-15,"-"
"4810","ERR13103904","SARS-CoV-2 ARTIC V4.1",2022-05-16,"-"
"4824","ERR13103937","SARS-CoV-2 ARTIC V4",2022-03-05,"v4"
"4826","ERR13103944","SARS-CoV-2 ARTIC V4",2022-03-01,"v4"
"4832","ERR13103954","SARS-CoV-2 ARTIC V4",2022-02-23,"v4"
"4837","ERR13103960","SARS-CoV-2 ARTIC V4",2022-02-24,"v4"
"4849","ERR13103969","SARS-CoV-2 ARTIC V4",2022-03-04,"v4"
"4869","ERR13104000","SARS-CoV-2 ARTIC V4",2022-02-28,"v4"
"4878","ERR13104040","SARS-CoV-2 ARTIC V4",2022-03-13,"v4"
"4879","ERR12397688","SARS-CoV-2 ARTIC V3",2021-11-24,"v3"
"4882","ERR13104051","SARS-CoV-2 ARTIC V4",2022-03-07,"v4"
"4883","ERR12397689","SARS-CoV-2 ARTIC V3",2021-11-25,"v3"
"4884","ERR13104052","SARS-CoV-2 ARTIC V4",2022-03-14,"v4"
"4887","ERR12397773","SARS-CoV-2 ARTIC V3",2021-11-28,"v3"
"4891","ERR12397780","SARS-CoV-2 ARTIC V3",2021-12-05,"v3"
"4892","ERR13104063","SARS-CoV-2 ARTIC V4",2022-03-08,"v4"
"4893","ERR13104064","SARS-CoV-2 ARTIC V4",2022-03-15,"v4"
"4895","ERR12397782","SARS-CoV-2 ARTIC V3",2021-12-07,"v3"
"4898","ERR12397783","SARS-CoV-2 ARTIC V3",2021-12-08,"v3"
